shop_id,name,address,latitude,longitude,area,station,price_level,broth,richness,spice,diet,open_late,seating,group_ok,wait_level,travel_band,ramen_type,jiro_style,payment
halal_nikoniko_mazemen_akihabara,Halal Nikoniko mazemen Akihabara,"2-chōme-15-1 Kanda Sudachō, Chiyoda City, Tokyo 101-0041",35.6962439,139.7737363,akihabara,akihabara_station,high,miso,rich,none,halal,no,bar,small,medium,near,both,no,card_ok
halal_restaurant_honolu_grande_akihabara,Halal Restaurant Honolu Grande Akihabara,"〒101-0032 Tokyo, Chiyoda City, Iwamotochō, 3-chōme−5−１ スドウビル 1F",35.6950991,139.7774654,akihabara,akihabara_station,low,other,medium,none,halal,no,both,solo,short,near,ramen,no,card_ok
menko_ushio,Menko Ushio,"〒101-0063 Tokyo, Chiyoda City, Kanda Awajichō, 2-chōme−4−４ アール神田淡路町 B1F",35.6963892,139.7677704,akihabara,akihabara_station,medium,shio,light,none,none,no,both,small,medium,near,ramen,no,card_ok
hyakunen_honpo_ramen_akihabara_main_branch,Hyakunen Honpo Ramen Akihabara Main Branch,"〒101-0021 Tokyo, Chiyoda City, Sotokanda, 3-chōme−8−９ 昌徳ビル 1F",35.7028168,139.7708941,akihabara,akihabara_station,medium,shoyu,medium,mild,none,no,both,solo,short,near,ramen,no,cash_only
tsujita_kanda_suehirocho,Tsujita Kanda Suehirocho,"Prostech Akihabara, 6-chōme-13-10 Sotokanda, Chiyoda City, Tokyo 101-0021",35.7031126,139.7710666,akihabara,akihabara_station,low,shoyu,medium,none,none,no,both,group,medium,near,both,no,card_ok
kyushu_jangara_akihabara,Kyushu Jangara Akihabara,"〒101-0021 Tokyo, Chiyoda City, Sotokanda, 3-chōme−11−６ 一枝ビル １Ｆ",35.7007814,139.7706793,akihabara,akihabara_station,medium,tonkotsu,rich,spicy,none,no,bar,solo,long,near,both,no,card_ok
tsujita_akihabara,Tsujita Akihabara,"〒101-0021 Tokyo, Chiyoda City, Sotokanda, 1-chōme−9−５ 第一ナガシマビル 1階",35.699031,139.7701401,akihabara,akihabara_station,medium,tonkotsu,rich,none,none,no,bar,small,medium,near,ramen,no,card_ok
akihabara_menya_musashi_iwatora,Akihabara Menya Musashi Iwatora,"1-chōme-3-9 Sotokanda, Chiyoda City, Tokyo 101-0021",35.6981572,139.7703658,akihabara,akihabara_station,medium,tsukemen,medium,none,none,no,bar,small,medium,near,both,no,card_ok
halal_wagyu_ramen_and_beef_cutlet_shunpudou_春風堂,HALAL WAGYU RAMEN & BEEF CUTLET SHUNPUDOU 春風堂,"〒111-0032 Tokyo, Taito City, Asakusa, 2-chōme−6−１１ 平和ビル 3rd floor",35.71442280000001,139.7935427,asakusa,asakusa_station,medium,miso,rich,spicy,halal,no,bar,group,medium,near,both,no,card_ok
honolu_premier_asakusa_hanare,Honolu Premier Asakusa Hanare,"3-chōme-17-3 Asakusa, Taito City, Tokyo 111-0032",35.7172972,139.7944366,asakusa,asakusa_station,medium,other,medium,none,halal,no,both,small,short,near,both,no,cash_only
